file,pinyin,tone,pinyin_tone
suan3_MV3_MP3.mp3,suan,3,suan3
qiang2_FV2_MP3.mp3,qiang,2,qiang2
pi2_FV3_MP3.mp3,pi,2,pi2
nao1_MV1_MP3.mp3,nao,1,nao1
za2_FV3_MP3.mp3,za,2,za2
reng1_MV2_MP3.mp3,reng,1,reng1
han3_MV3_MP3.mp3,han,3,han3
cun2_FV2_MP3.mp3,cun,2,cun2
zhao3_FV1_MP3.mp3,zhao,3,zhao3
re3_MV3_MP3.mp3,re,3,re3
zhan3_FV3_MP3.mp3,zhan,3,zhan3
nen2_FV2_MP3.mp3,nen,2,nen2
zei1_MV3_MP3.mp3,zei,1,zei1
pen4_MV3_MP3.mp3,pen,4,pen4
zhuan3_MV2_MP3.mp3,zhuan,3,zhuan3
sa4_MV2_MP3.mp3,sa,4,sa4
si2_MV1_MP3.mp3,si,2,si2
guan4_FV2_MP3.mp3,guan,4,guan4
kou3_FV2_MP3.mp3,kou,3,kou3
mi3_MV1_MP3.mp3,mi,3,mi3
gei4_MV3_MP3.mp3,gei,4,gei4
ei1_MV1_MP3.mp3,ei,1,ei1
pao2_FV3_MP3.mp3,pao,2,pao2
nie4_FV1_MP3.mp3,nie,4,nie4
qiao4_FV3_MP3.mp3,qiao,4,qiao4
tai4_MV2_MP3.mp3,tai,4,tai4
zhai3_FV1_MP3.mp3,zhai,3,zhai3
guo1_MV2_MP3.mp3,guo,1,guo1
qie4_MV3_MP3.mp3,qie,4,qie4
ma3_MV2_MP3.mp3,ma,3,ma3
za4_MV1_MP3.mp3,za,4,za4
niao2_FV1_MP3.mp3,niao,2,niao2
zhan3_MV2_MP3.mp3,zhan,3,zhan3
hua4_FV1_MP3.mp3,hua,4,hua4
liu3_MV1_MP3.mp3,liu,3,liu3
chuai1_MV3_MP3.mp3,chuai,1,chuai1
sai3_FV2_MP3.mp3,sai,3,sai3
sheng4_MV2_MP3.mp3,sheng,4,sheng4
chan2_FV2_MP3.mp3,chan,2,chan2
ni1_MV3_MP3.mp3,ni,1,ni1
la3_FV3_MP3.mp3,la,3,la3
de2_FV2_MP3.mp3,de,2,de2
ya4_FV2_MP3.mp3,ya,4,ya4
kun4_MV1_MP3.mp3,kun,4,kun4
lan2_MV1_MP3.mp3,lan,2,lan2
xue2_MV2_MP3.mp3,xue,2,xue2
hai4_FV2_MP3.mp3,hai,4,hai4
ci1_FV2_MP3.mp3,ci,1,ci1
huo1_FV3_MP3.mp3,huo,1,huo1
ba4_FV3_MP3.mp3,ba,4,ba4
chang4_MV1_MP3.mp3,chang,4,chang4
la1_MV2_MP3.mp3,la,1,la1
jing4_MV1_MP3.mp3,jing,4,jing4
chong1_FV1_MP3.mp3,chong,1,chong1
da3_FV1_MP3.mp3,da,3,da3
bing4_FV3_MP3.mp3,bing,4,bing4
long3_MV1_MP3.mp3,long,3,long3
nian2_MV2_MP3.mp3,nian,2,nian2
cong1_MV3_MP3.mp3,cong,1,cong1
hui2_MV1_MP3.mp3,hui,2,hui2
cai3_MV3_MP3.mp3,cai,3,cai3
he4_FV1_MP3.mp3,he,4,he4
mu2_FV1_MP3.mp3,mu,2,mu2
meng3_MV1_MP3.mp3,meng,3,meng3
shua3_MV2_MP3.mp3,shua,3,shua3
ci4_FV2_MP3.mp3,ci,4,ci4
kua2_FV3_MP3.mp3,kua,2,kua2
la2_FV1_MP3.mp3,la,2,la2
ce2_MV2_MP3.mp3,ce,2,ce2
xiong2_MV2_MP3.mp3,xiong,2,xiong2
kun1_MV3_MP3.mp3,kun,1,kun1
gan3_FV1_MP3.mp3,gan,3,gan3
lve2_MV3_MP3.mp3,lve,2,lve2
pen4_MV1_MP3.mp3,pen,4,pen4
mai1_MV3_MP3.mp3,mai,1,mai1
cun1_MV1_MP3.mp3,cun,1,cun1
jun4_FV2_MP3.mp3,jun,4,jun4
chi2_MV1_MP3.mp3,chi,2,chi2
ju4_MV3_MP3.mp3,ju,4,ju4
zang4_FV3_MP3.mp3,zang,4,zang4
ca4_FV3_MP3.mp3,ca,4,ca4
cu1_FV2_MP3.mp3,cu,1,cu1
wu3_FV2_MP3.mp3,wu,3,wu3
shuai3_FV1_MP3.mp3,shuai,3,shuai3
huai2_MV3_MP3.mp3,huai,2,huai2
zhou3_MV1_MP3.mp3,zhou,3,zhou3
a2_MV1_MP3.mp3,a,2,a2
tan4_MV1_MP3.mp3,tan,4,tan4
guo3_MV2_MP3.mp3,guo,3,guo3
shen1_MV1_MP3.mp3,shen,1,shen1
zai4_MV2_MP3.mp3,zai,4,zai4
xuan2_MV2_MP3.mp3,xuan,2,xuan2
zhang1_FV1_MP3.mp3,zhang,1,zhang1
luo4_MV2_MP3.mp3,luo,4,luo4
zhuo2_FV3_MP3.mp3,zhuo,2,zhuo2
guang4_FV1_MP3.mp3,guang,4,guang4
en3_MV1_MP3.mp3,en,3,en3
ya3_MV2_MP3.mp3,ya,3,ya3
da3_FV2_MP3.mp3,da,3,da3
na3_MV3_MP3.mp3,na,3,na3
diao3_MV2_MP3.mp3,diao,3,diao3
